	github_urls	creation_date	pr_date	pr_from	is_fork	pr_from_date	is_merged	merged_date
157	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-05-31T03:24:08Z	rmekdma/facenet	True	2017-05-31T03:19:20Z	True	2017-07-15T20:12:38Z
158	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-05-07T01:36:00Z	cjekel/facenet	True	2017-05-01T17:28:56Z	True	2017-07-16T19:45:57Z
159	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-04-28T07:36:18Z	irmowan/facenet	True	2017-04-28T07:27:21Z	True	2017-04-29T11:08:37Z
160	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-04-12T05:57:19Z	apollo-time/facenet	True	2016-11-03T10:48:44Z	False	
161	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-04-12T05:54:34Z	apollo-time/facenet	True	2016-11-03T10:48:44Z	False	
162	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-03-07T02:11:34Z	ugtony/facenet	True	2016-12-01T03:59:13Z	True	2017-03-07T10:14:22Z
163	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-03-01T03:35:26Z		False		True	2017-03-02T22:02:07Z
164	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-23T16:02:34Z	artur-trzesiok/facenet	True	2017-02-11T16:52:22Z	True	2017-02-23T20:44:50Z
165	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-22T19:31:29Z		False		True	2017-02-22T21:00:48Z
166	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-19T00:51:18Z	wangxianliang/facenet	True	2017-02-18T14:49:03Z	False	
167	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-16T11:29:50Z	duesencode/facenet	True	2017-02-16T11:25:17Z	True	2017-02-17T12:04:34Z
168	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-15T11:25:47Z	bushibushi/facenet	True	2017-01-27T10:39:34Z	True	2017-02-15T12:39:37Z
169	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-11T16:57:24Z	artur-trzesiok/facenet	True	2017-02-11T16:52:22Z	True	2017-02-12T16:38:12Z
170	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-09T17:00:24Z	rtkaleta/facenet	True	2017-02-09T16:59:13Z	True	2017-02-12T16:39:35Z
171	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-02-03T22:06:28Z		False		True	2017-02-12T17:18:58Z
172	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-01-23T05:29:09Z	ugtony/facenet	True	2016-12-01T03:59:13Z	True	2017-02-12T17:06:23Z
173	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-01-22T03:09:45Z		False		False	
174	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-01-20T02:36:03Z	ugtony/facenet	True	2016-12-01T03:59:13Z	False	
175	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-01-13T18:27:13Z		False		True	2017-02-12T22:30:54Z
176	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-01-11T05:03:12Z	apollo-time/facenet	True	2016-11-03T10:48:44Z	True	2017-01-14T22:26:08Z
177	davidsandberg/facenet	2016-02-12T22:14:40Z	2016-11-07T07:14:32Z	jithinodattu/facenet	True	2016-11-07T06:25:34Z	True	2016-11-07T21:26:34Z
178	davidsandberg/facenet	2016-02-12T22:14:40Z	2016-11-01T23:07:54Z		False		True	2016-11-05T21:35:29Z
