	github_urls	forks	useful_forks	transitive_forks
363	hwalsuklee/tensorflow-fast-style-transfer	50	7	0
364	zhangdebin1119/py-faster-rcnn-cpu-	0	0	0
365	jiny2001/dcscn-super-resolution	140	13	2
366	hiwonjoon/maml-tensorflow	8	0	0
367	tkuanlun350/3dunet-tensorflow-brats18	31	0	0
368	xuyuwei/resnet-tf	27	0	0
369	decayale/fcrn-depthprediction	0	0	0
370	masazi/cnn_depth_tensorflow	44	1	0
371	kendricktan/suiron	81	7	2
372	lpqdao/models	0	0	0
373	ayush1997/xvision	110	3	2
374	coopss/emnist	32	2	0
375	zhengyang-wang/3d-unet--tensorflow	23	0	0
376	pedro-morgado/spatialaudiogen	3	0	0
377	niudong1001/cognitive_mapping_and_planning	0	0	0
378	habrman/facerecognition	67	1	4
379	louieyang/deep-photo-styletransfer-tf	141	4	6
380	shengjiazhao/pixelvae	1	1	0
381	philipperemy/tensorflow-class-activation-mapping	35	4	0
382	alexemg/deeplabcut	366	38	5
383	felixgruen/tensorflow-u-net	9	0	0
384	yxu0611/tensorflow-implementation-of-lcnn	13	0	0
385	bigsnarfdude/faster-rcnn_tf	43	3	0
386	wangyueft/dgcnn	82	4	0
387	ghwatson/faststyle	44	7	0
388	faustomilletari/cfcm-2d	3	0	0
389	tensorlayer/srgan	480	26	5
390	floydhub/fast-style-transfer	49	7	3
391	taesung89/real-nvp	19	3	2
392	wenwei202/terngrad	35	2	0
393	taki0112/partial_conv-tensorflow	5	0	0
394	olavhn/fast-neural-style	49	12	0
395	sirius-ai/mobilefacenet_tf	67	3	1
396	whitesockcat/discriminative-feature-network	2	0	0
397	kevinjliang/tf-faster-rcnn	87	5	1
398	naturomics/capslayer	94	9	5
399	heumi/fast_multi_style_transfer-tensorflow	33	2	0
400	dq0408/sphereface-tensorflow	0	0	0
401	nanqingd/densenet-tensorflow	6	0	0
402	li-ming-fan/ocr-detection-ctpn	64	2	1
403	iwyoo/tps_stn-tensorflow	9	0	0
404	zardinality/tf_deformable_net	47	1	1
405	wenxinxu/resnext-in-tensorflow	26	1	0
406	fregu856/segmentation	63	3	3
407	zsdonghao/spatial-transformer-nets	5	1	0
408	huanzhang12/crown-robustness-certification	2	0	0
409	sangeet259/tensorflow_unpooling	4	0	0
410	fwtan/who_where	4	0	0
411	wbenbihi/hourglasstensorlfow	131	10	3
412	eridgd/wct-tf	61	12	1
413	deeprnn/image_captioning	213	19	19
414	flrngel/transformer-tensorflow	2	0	0
415	tgyg-jegli/tf_texture_net	20	0	0
416	seathiefwang/rdn-tensorflow	4	0	0
417	haebinshin/dec-tensorflow	9	0	0
418	dazhang-cv/s3d	1	0	0
419	tryolabs/luminoth	334	11	2
420	shashanktyagi/hyperface-tensorflow-implementation	34	11	0
421	zhengyang-wang/unet_3d	18	1	0
422	judyye/zero-shot-gcn	132	2	0
423	nmhkahn/dncnn-tensorflow	8	0	1
424	yselivonchyk/tensorflow_whatwhereautoencoder	9	1	0
425	max-andr/joint-cnn-mrf	7	0	0
426	marcoancona/deepexplain	47	5	1
427	jorgeceja/food101-tensorflow	7	0	0
428	stanford-futuredata/noscope	109	6	0
429	ericzgw/pyramidbox	82	1	0
430	hikapok/xception_tensorflow	3	0	0
431	hikapok/ssd.tensorflow	125	17	1
432	liuhengli/linknet_tensorflow	5	0	0
433	llsourcell/capsule_networks	203	5	1
434	albertlai/deep-style-transfer	19	1	0
435	henrysky/astronn	15	0	0
436	maybeshewill-cv/lanenet-lane-detection	291	19	23
437	ly-atdawn/unet-tensorflow	9	0	0
438	lesliejackson/yolov1_tensorflow	8	0	0
439	cameronfabbri/compute-features	52	0	0
440	hassony2/kinetics_i3d_pytorch	72	5	0
441	johswald/bayesian-flownet	7	0	2
442	v-shmyhlo/retinanet-tensorflow	6	0	0
443	comindorg/federated-averaging-tutorials	16	0	0
444	sunjieee/mobilenets-tensorflow	3	0	0
445	fregu856/2d_detection	40	1	0
446	shaohua0116/activation-visualization-histogram	59	4	0
447	llsourcell/yolo_object_detection	595	7	9
448	robinatp/tensorflow_model_slim_classify	17	0	0
449	ichuang/tflearn_wide_and_deep	56	2	0
450	openai/glow	387	22	7
